President,flesch_reading_ease,polarity,subjectivity,charisma,rank
Abraham Lincoln,0.6505834484876402,0.5131277434426337,0.7563483360626467,0.6400198426643069,1.0
Andrew Jackson,0.32251178117138496,0.45036662414360584,0.717766368731244,0.49688159134874493,0.5506807866868382
Andrew Johnson,0.37269505653705,0.3653739269777585,0.6872751318333956,0.475114705116068,0.0453857791225416
Barack Obama,0.7645301704283743,0.5084944259601154,0.7411947199588874,0.671406438782459,0.6399394856278366
Benjamin Harrison,0.4969058538441512,0.5052092544253967,0.773919142139251,0.5920114168029329,0.3267776096822996
Bill Clinton,0.7869822485207102,0.5285570532090998,0.7455547496402578,0.6870313504566893,0.5869894099848714
Calvin Coolidge,0.5953381698142177,0.5610816687624846,0.7449346981985228,0.6337848455917418,0.39334341906202724
Dwight D. Eisenhower,0.6653040073698756,0.5301266434088012,0.7901395265219627,0.6618567257668798,0.7549167927382754
Franklin D. Roosevelt,0.6964626477030241,0.49053420357126537,0.738251171763358,0.6417493410125491,0.9213313161875945
Franklin Pierce,0.24438814678335638,0.3873180851080633,0.6695312623219969,0.4337458314044722,0.10590015128593039
George H. W. Bush,0.7718242444876131,0.48990781792607785,0.7499969465654301,0.6705763363263738,0.5310136157337368
George W. Bush,0.7146742018920738,0.5342119355977125,0.7603475828261289,0.6697445734386385,0.3177004538577913
George Washington,0.2620637845188743,0.46843709361494007,0.7058425994358462,0.4787811591898869,0.9409984871406958
Gerald Ford,0.6398713561887214,0.5405813769160199,0.731619851339177,0.6373575281479728,0.3993948562783661
Grover Cleveland,0.3454590818363273,0.42103690149817646,0.720092140819928,0.49552937471814396,0.4462934947049924
Harry S. Truman,0.7947889645809594,0.58669194041659,0.793762324119523,0.7250810763723575,0.7443267776096822
Herbert Hoover,0.5251266697374481,0.4680893905010867,0.6730037302459304,0.5554065968281551,0.25869894099848717
James A. Garfield,0.5168125287885768,0.5946220402671695,0.8200855915010233,0.6438400535189231,0.35703479576399394
James Buchanan,0.48322859774955573,0.4159978177826779,0.7555118059128926,0.5515794071483754,0.0
James K. Polk,0.4528880700138185,0.43800755143509673,0.6724009625579345,0.5210988613356166,0.5930408472012103
James Madison,0.16671726477115698,0.5032831739907541,0.6644869999096766,0.44482914622386255,0.5521936459909229
James Monroe,0.48285352372178725,0.5674713100205788,0.7235039782905807,0.5912762706776489,0.605143721633888
Jimmy Carter,0.6867645827226666,0.5218510271281742,0.7461632059389974,0.6515929385966128,0.394856278366112
John Adams,0.3370310660729822,0.5529958035055162,0.769153286148018,0.5530600519088389,0.5416036308623298
John F. Kennedy,0.6607606465390897,0.5270497445471407,0.779416409799774,0.6557422669620014,0.7216338880484114
John Quincy Adams,0.4102564102564103,0.4140680912154124,0.6139763292152459,0.47943361022902287,0.5204236006051437
John Tyler,0.39914401965300167,0.4468018641766349,0.748277772640711,0.5314078854901159,0.1921331316187595
Lyndon B. Johnson,0.7372632849144614,0.5498002268002884,0.7486930784939517,0.6785855300695672,0.6671709531013614
Martin Van Buren,0.2969599263012437,0.46268285334282916,0.7203524401693204,0.4933317399377977,0.3101361573373676
Millard Fillmore,0.3942225439231427,0.44385138311806266,0.6763408378189609,0.5048049216200554,0.2239031770045386
Richard Nixon,0.7258075821600943,0.5425032674231821,0.7710721481506724,0.6797943325779828,0.3645990922844175
Ronald Reagan,0.7476773961854648,0.4738336700121951,0.7384206641297598,0.6533105767758065,0.6747352496217851
Rutherford B. Hayes,0.4183052164900968,0.43111424287403854,0.67192235718671,0.5071139388502818,0.32223903177004537
Theodore Roosevelt,0.4768068757589715,0.45125484924232745,0.7741114416886259,0.5673910555633083,0.8502269288956126
Thomas Jefferson,0.3497908030093659,0.534038304575167,0.745568387287663,0.5431324982907318,0.7291981845688351
Ulysses S. Grant,0.4280357554122524,0.44854510613120485,0.7087777143887058,0.5284528586440543,0.47049924357034795
Warren G. Harding,0.5939339270177593,0.5606126516677453,0.7640784089832279,0.6395416625562441,0.1739788199697428
William Harrison,0.36722708429295253,0.5510054374200816,0.7991564889047759,0.57246300353927,0.20877458396369136
William McKinley,0.5035615582022768,0.4874165438471366,0.6748252848443649,0.5552677956312594,0.5763993948562784
William Taft,0.44605980346998314,0.4742463081481381,0.7510798464956744,0.5571286527045985,0.4281391830559758
Woodrow Wilson,0.5397840682271822,0.4798117518747024,0.788063931259096,0.6025532504536601,0.6626323751891074
Zachary Taylor,0.3290534315983418,0.4950727809257992,0.7457262043783962,0.5232841389675124,0.32223903177004537
